duration_m,hazard,hazard_se,hazard_lower,hazard_upper
0.000,0,0,0,0
0.924,0.330428135,0.0005122615,0.3294241024,0.3314321676
1.848,0.2302117329,0.0011244445,0.2280078217,0.232415644
2.771,0.1822153596,0.0015125918,0.1792506797,0.1851800395
3.926,0.2081694104,0.0018183266,0.2046054904,0.2117333305
4.850,0.1569235873,0.0022180435,0.1525762221,0.1612709525
5.774,0.1477773837,0.0025319219,0.1428148167,0.1527399506
6.928,0.1856608401,0.0028322425,0.1801096448,0.1912120355
7.852,0.125512258,0.0033171291,0.119010685,0.1320138311
8.776,0.0962295798,0.0036685635,0.0890391954,0.1034199642
9.931,0.102209371,0.0039399519,0.0944870652,0.1099316767
10.855,0.0705465009,0.0042766622,0.062164243,0.0789287588
11.778,0.0591053994,0.004516206,0.0502536357,0.0679571631
12.933,0.0641954777,0.0047188749,0.0549464829,0.0734444725
13.857,0.0424309306,0.0049719381,0.032685932,0.0521759292
14.781,0.0378081477,0.0051411583,0.0277314774,0.047884818
15.935,0.0423747691,0.0052942435,0.0319980518,0.0527514864
16.859,0.0292482395,0.005486347,0.0184949993,0.0400014798
17.783,0.0257235586,0.0056218509,0.0147047309,0.0367423863
18.938,0.0293882935,0.005743402,0.0181312257,0.0406453614
19.861,0.0210759682,0.0058951454,0.0095214832,0.0326304531
20.785,0.0192524532,0.0060071996,0.0074783421,0.0310265643
21.940,0.0218979683,0.0061132439,0.0099160101,0.0338799264
22.864,0.016245321,0.0062421862,0.0040106361,0.0284800059
23.788,0.0131209178,0.006342207,0.0006901921,0.0255516435
24.942,0.0147222631,0.0064269921,0.0021253587,0.0273191675
25.866,0.0122607411,0.0065266964,0,0.0250530661
26.790,0.0109074682,0.0066138437,0,0.0238706018
27.945,0.0147099897,0.006697438,0.0015830112,0.0278369682
28.868,0.0099620159,0.0068110002,0,0.0233115764
29.792,0.0096171338,0.0068935933,0,0.0231285766
