anc_slut_maaned,hazard,hazard_se,hazard_lower,hazard_upper
1.000,0.0402981278,0.0002968092,0.0397163818,0.0408798738
2.000,0.027673066,0.0005270609,0.0266400267,0.0287061053
3.000,0.0242725823,0.0006893813,0.0229213951,0.0256237696
4.000,0.0238990793,0.000835087,0.0222623089,0.0255358498
5.000,0.0244751131,0.0009821431,0.0225501126,0.0264001137
6.000,0.0312116402,0.0011544598,0.028948899,0.0334743814
7.000,0.0327313476,0.0013695377,0.0300470537,0.0354156415
8.000,0.0202451072,0.0015735503,0.0171609486,0.0233292659
9.000,0.0164168041,0.001724754,0.0130362863,0.019797322
10.000,0.0146134242,0.0018594525,0.0109688974,0.018257951
11.000,0.0134823644,0.0019881136,0.0095856618,0.0173790671
12.000,0.0115755407,0.0021107764,0.007438419,0.0157126624
13.000,0.0112312516,0.0022290111,0.0068623898,0.0156001134
14.000,0.010298721,0.0023494103,0.0056938769,0.0149035651
15.000,0.0093959221,0.0024672603,0.0045600919,0.0142317522
16.000,0.0089975938,0.0025847714,0.003931442,0.0140637457
17.000,0.0080405925,0.0027027228,0.0027432558,0.0133379292
18.000,0.0072862531,0.0028172206,0.0017645007,0.0128080054
19.000,0.0073140595,0.0029346254,0.0015621937,0.0130659253
20.000,0.0081740943,0.0030693602,0.0021581483,0.0141900403
21.000,0.00763225,0.0032203781,0.0013203089,0.0139441911
22.000,0.0062581984,0.0033658581,0,0.0128552802
23.000,0.0074582787,0.0035227717,0.0005536462,0.0143629113
24.000,0.0043767689,0.0036783049,0,0.0115862464
25.000,0.0062731079,0.0038279864,0,0.0137759613
25.967,0.0050598696,0.0040059076,0,0.0129114485
27.000,0.0044595095,0.0041688557,0,0.0126304667
28.000,0.0052819873,0.0043506803,0,0.0138093207
29.000,0.0046170258,0.0045533456,0,0.0135415832
30.000,0.0045677116,0.004755832,0,0.0138891423
