anc_maaned_round,hazard,hazard_lower,hazard_upper
0,,0,
1,0.3305121574,0.3284986187,0.3325256961
2,0.211852792,0.2101156266,0.2135899574
3,0.1982661458,0.1967454133,0.1997868783
4,0.1740045495,0.1726443792,0.1753647198
5,0.1610806154,0.1598509024,0.1623103283
6,0.1523548546,0.1512346204,0.1534750889
7,0.1397139414,0.1386831669,0.1407447159
8,0.1272126683,0.126255276,0.1281700607
9,0.1191405829,0.1182461061,0.1200350596
10,0.1140413051,0.1132024528,0.1148801575
11,0.1085726418,0.1077826873,0.1093625962
12,0.1058784305,0.1051328062,0.1066240547
13,0.1032853945,0.1025801245,0.1039906645
14,0.0997864262,0.0991175156,0.1004553368
15,0.094724256,0.0940876071,0.095360905
16,0.0945715938,0.0939652271,0.0951779605
17,0.0947934771,0.0942157181,0.095371236
18,0.0917497771,0.0911979728,0.0923015814
19,0.0908688563,0.0903411726,0.0913965399
20,0.0938561204,0.0933520288,0.094360212
21,0.0947334239,0.094251701,0.0952151467
22,0.0975186766,0.0970587205,0.0979786327
23,0.0972581874,0.0968184815,0.0976978932
24,0.096532497,0.0961115281,0.0969534658
25,0.1000346998,0.0996321313,0.1004372684
26,0.1026421047,0.1022575296,0.1030266798
27,0.0997670807,0.0993988431,0.1001353184
28,0.1038699575,0.1035177379,0.1042221771
29,0.106626506,0.1062898253,0.1069631867
30,0.1125741281,0.1122528879,0.1128953682
31,0.1127029608,0.1123959051,0.1130100165
32,0.1052183778,0.1049233159,0.1055134396
33,0.113706103,0.1134229055,0.1139893005
34,0.114417435,0.11414475,0.1146901201
35,0.1220915033,0.1218286987,0.1223543078
36,0.1341789052,0.1339256424,0.134432168
37,0.1228146853,0.1225681914,0.1230611793
38,0.1401557286,0.1399166339,0.1403948233
39,0.1253581662,0.1251246642,0.1255916682
40,0.1219065078,0.1216776118,0.1221354038
41,0.1586901763,0.1584661413,0.1589142113
42,0.1220735786,0.1218522096,0.1222949476
43,0.1344902386,0.1342717063,0.1347087709
44,0.1400560224,0.1398408442,0.1402712006
45,0.1505791506,0.1503666566,0.1507916446
46,0.1188118812,0.1186014317,0.1190223307
47,0.1219512195,0.121743519,0.1221589201
48,0.1796875,0.1794863664,0.1798886336
49,0.0555555556,0.0553541456,0.0557569655
50,0.0394736842,0.0392714333,0.0396759352
51,0.1525423729,0.1523378865,0.1527468593
52,0.1914893617,0.191288999,0.1916897244
53,0.064516129,0.0643139922,0.0647182659
54,0.0769230769,0.0767187434,0.0771274104
55,0.0454545455,0.0452484946,0.0456605963
56,0.1111111111,0.1109014297,0.1113207926
57,0.0769230769,0.076708663,0.0771374908
58,0.1666666667,0.1664526601,0.1668806732
59,0.5,0.4998355108,0.5001644892
