anc_maaned_round,hazard,hazard_lower,hazard_upper
0,,0,
1,0.0692114243,0.067930382,0.0704924667
2,0.0658368478,0.0644754382,0.0671982575
3,0.070888867,0.0694445004,0.0723332336
4,0.0717845064,0.0702631098,0.073305903
5,0.0754067523,0.0738164546,0.0769970499
6,0.0758791675,0.0742306867,0.0775276483
7,0.0753371249,0.0736408389,0.0770334109
8,0.0703010742,0.0685680004,0.072034148
9,0.0685405297,0.0667786317,0.0703024276
10,0.0703083629,0.0685240591,0.0720926666
11,0.0717786824,0.0699781181,0.0735792467
12,0.0713184271,0.0695077158,0.0731291385
13,0.0711933143,0.0693778327,0.073008796
14,0.0706902916,0.0688744204,0.0725061629
15,0.0719030468,0.0700912476,0.0737148459
16,0.0700983227,0.0682938833,0.0719027622
17,0.0719409829,0.0701473134,0.0737346524
18,0.0736486346,0.0718688684,0.0754284009
19,0.0737712555,0.0720076967,0.0755348143
20,0.0776605193,0.075916903,0.0794041356
21,0.0782606129,0.0765388265,0.0799823992
22,0.0835779082,0.0818819259,0.0852738905
23,0.084272658,0.0826037471,0.0859415689
24,0.0838125109,0.0821710431,0.0854539786
25,0.0821890646,0.080575125,0.0838030042
26,0.0856853135,0.0841011971,0.0872694299
27,0.0931677019,0.0916170781,0.0947183257
28,0.087987473,0.0864681063,0.0895068396
29,0.0940619621,0.0925763446,0.0955475796
30,0.1033269675,0.1018789256,0.1047750094
31,0.1049426934,0.1035315542,0.1063538326
32,0.1165626773,0.1151934205,0.117931934
33,0.1220593249,0.1207340678,0.123384582
34,0.1362112322,0.134934927,0.1374875374
35,0.1482352941,0.1470123624,0.1494582258
36,0.155540721,0.1543718635,0.1567095784
37,0.1402972028,0.1391696356,0.14142477
38,0.137374861,0.1362845965,0.1384651254
39,0.1432664756,0.1422121262,0.1443208251
40,0.1824014665,0.1813996874,0.1834032457
41,0.1423173804,0.1413459635,0.1432887972
42,0.1605351171,0.1595960789,0.1614741552
43,0.1344902386,0.1335753345,0.1354051427
44,0.1736694678,0.1727905417,0.1745483939
45,0.1235521236,0.1226891143,0.1244151328
46,0.1237623762,0.1229131932,0.1246115592
47,0.1219512195,0.1211171749,0.1227852641
48,0.1328125,0.1319941544,0.1336308456
49,0.1666666667,0.1658624796,0.1674708538
50,0.2105263158,0.2097697198,0.2112829118
51,0.1355932203,0.1348633489,0.1363230918
52,0.170212766,0.1695194319,0.1709061
53,0.1612903226,0.1606170689,0.1619635762
54,0.1153846154,0.1147276944,0.1160415364
55,0.1818181818,0.1811979575,0.1824384062
56,0.1666666667,0.1660821432,0.1672511901
58,0.0833333333,0.0827721696,0.083894497
59,0.25,0.2494752227,0.2505247773
60,0.5,0.4994848665,0.5005151335
61,1,1,1
