anc_ved_afgang,hazard,hazard_se,hazard_lower,hazard_upper
0.0000,0.0658289189,0.0002004317,0.0654360727,0.0662217651
1.0000,0.035299473,0.0003532455,0.0346071118,0.0359918343
2.0000,0.0444278923,0.000464675,0.0435171293,0.0453386554
3.0000,0.0492429983,0.0005887208,0.0480891055,0.0503968911
4.0000,0.049889495,0.0007183864,0.0484814577,0.0512975323
5.0000,0.0504628406,0.0008497373,0.0487973555,0.0521283256
6.0000,0.0523960101,0.000985398,0.05046463,0.0543273902
7.0000,0.0517639977,0.0011272015,0.0495546828,0.0539733126
8.0000,0.0490131232,0.0012698807,0.046524157,0.0515020894
9.0000,0.0471063356,0.001410187,0.0443423692,0.049870302
10.0000,0.0476208713,0.0015517741,0.044579394,0.0506623486
10.9997,0.0481679036,0.0017003877,0.0448351437,0.0515006635
12.0000,0.0497147605,0.0018571905,0.0460746672,0.0533548538
12.9995,0.0486048728,0.0020237213,0.044638379,0.0525713667
13.9994,0.0490183269,0.0021945138,0.0447170799,0.0533195739
15.0000,0.0495784173,0.0023745121,0.0449243736,0.0542324611
15.9999,0.0504370508,0.0025648489,0.0454099469,0.0554641546
16.9998,0.0495817564,0.002766263,0.0441598809,0.0550036319
17.9999,0.0524367458,0.0029757898,0.0466041977,0.0582692938
18.9998,0.0519075943,0.0032061017,0.045623635,0.0581915536
19.9996,0.055484474,0.0034476846,0.0487270122,0.0622419357
20.9997,0.0566740095,0.0037177906,0.0493871399,0.0639608791
21.9995,0.0603256865,0.0040102404,0.0524656154,0.0681857576
22.9991,0.0620784043,0.0043387094,0.0535745339,0.0705822746
24.0000,0.0636761129,0.0046972382,0.054469526,0.0728826998
24.9994,0.0602984659,0.0050862455,0.0503294247,0.0702675071
25.9996,0.0643830073,0.0054829006,0.053636522,0.0751294925
27.0000,0.0686889758,0.0059357981,0.0570548116,0.0803231401
27.9998,0.073005751,0.0064528006,0.0603582618,0.0856532402
28.9999,0.0735459748,0.0070429722,0.0597417493,0.0873502002
29.9985,0.0781349979,0.0076886348,0.0630652737,0.093204722
